factors,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
size_mktcap,0.34089057738907036,0.2747116539230745,0.22937841402281384,0.23534760361279802,0.19108356837954238,0.19165196004511678,0.19218367979261394,0.19492195026494513,0.22972724424028518,0.1760104759840807
value_epratio,0.08630778260539922,0.2288860398341646,0.23702604443967668,0.10036260358568794,0.12287195339673256,0.05335558481096396,0.04798791132132389,0.1115990132318731,0.13905184503163906,0.2544164982325611
value_bmratio,0.005410863840819606,0.10703465113635324,0.0833880640344889,0.02248627124917979,0.018566535484635216,0.07014247399538448,0.16581477458756602,0.1757783953129048,0.007066778028892766,0.28659405640993313
value_cpratio,0.0931811968142426,0.10632195737641674,0.02010433980576585,0.014268989289866703,0.1719921321678888,0.20259114505635833,0.2596706742873166,0.3486675821165614,0.16559931898514182,0.3764469330525343
profitability_roe,0.16923812124342574,0.23350737372279304,0.21782088829917548,0.2556178360753375,0.23952509393107038,0.19455716583955487,0.12125227111294941,0.20442716259927565,0.16937513862015713,0.22058512546310619
profitability_PMU,-0.1903560231249912,-0.074008329447746,-0.024611418639319704,0.018897732625389903,0.0339397056824169,0.11044942341346477,0.021710190923238604,0.2777827506384893,0.5369316538383604,0.6723477010873485
profitability_PMUTTM,-0.009318787293913978,0.08666704361343629,0.16178570203511103,0.15512532761696096,0.17056207097762205,0.11278520006875765,0.19840521391076185,0.12687782340523823,0.4510516406890747,0.5809445845778205
volatility_MAX,0.04662689596213826,0.05799843735321246,0.11217045887598888,0.05828062945649845,0.09434820987012024,0.05712902182154579,-0.02041565492987225,0.05645298987878405,0.05712836288494877,0.07333176761605138
volatility_onemonthv,0.0769872435189504,0.02577148352685243,0.12133515160832105,0.05759619226878083,0.0763136688725308,0.10339116589812022,-0.01421988205238115,0.18390753756009995,-0.012243840846103742,-0.05318969477178449
volatility_threemonthv,0.18747127012191306,0.2183751879589335,0.19163428019807188,0.049123275588390046,0.1820324638709631,0.1220800926762048,0.005651351602993471,0.1048635223728978,0.03210408615973578,-0.03688239761675877
volatility_sixmonthv,0.19112544154406833,0.2585154164453436,0.21668163269869173,0.2155081740772216,0.1501782190887619,0.08649200562288811,0.17891996314167358,0.019593323613785046,0.010995088622574872,-0.07455996934917926
volatility_twelvemonthv,0.21003066556428626,0.36122807283833425,0.2426866326980139,0.21560556968650516,0.26427723473236187,0.12621055609071438,0.11445984451436417,0.06248078840380632,0.11864448091813178,-0.0429971954053599
volatility_oneyearmv,0.1508460364566841,-0.0016191639998689733,0.10353145225953997,-0.011239309664427663,-0.09656941505187289,0.07696274971229203,-0.009131624597717734,-0.064573341530571,0.044947545462199465,-0.02078686769711545
volatility_twoyearmv,0.11233753987188871,-0.016903530132429834,0.024504854188687933,-0.038952714288637,0.0057799857878561645,-0.007390930446979271,-0.012520716530624788,-0.03654892597063422,-0.06945284561530822,-0.0875628798862672
volatility_threeyearmv,0.16119939930932967,0.08574063448955514,0.0032871837024053448,0.010080801643617278,0.0377060572464434,0.055246731531169234,-0.04555241983426517,-0.03449789197821118,-0.027035810363042454,-0.06401003043613267
investment_annualassetgrowth,0.05349597201226104,0.09045079761781973,0.15892270881824144,0.08599871572088692,-0.049242072220336615,0.11650407464230826,0.16210589021446878,0.21619413262324827,0.21017872921003297,0.19666524352425047
investment_quarterlyassetgrowth,-0.0018288155427564064,-0.04476174977348607,0.008143321443349822,0.06252705228102795,0.022582957601623745,0.16846858380510948,0.2860796215782286,0.30937547544502575,0.2653503785605382,0.3604357956088387
accruals_accruals,0.16525958781245292,0.16974889450070718,0.20868854628093736,0.1956744599149529,0.14125068743390362,0.1607909269298919,0.13818460763219198,0.1238927261582002,0.11832213383847069,0.12680894486531447
accruals_noas,0.20598306641234476,0.24329714253516171,0.19730109704520454,0.28085828739937935,0.19936923882439408,0.24797211934308427,-0.05056585145415434,0.1443987293426277,0.045351646255396345,0.20260711286398073
illiquidity_illiquidity,0.035343624069605215,0.03865929492511066,0.10330402409294136,0.15891437768268632,0.10986594712178159,0.20863167116687745,0.19082474062216478,0.22515648465491306,0.3405934693933468,0.2804181684030664
turnover_twelvemturnover,0.23064852615844592,0.23717250361156622,0.3110006386675611,0.3022845132006902,0.27101226784979543,0.19972874554694234,0.195277937822922,0.10723534579458753,0.11093454415320929,-0.06160012758038731
turnover_onemabturnover,0.21326318378003603,0.160567804174372,0.14186029618668577,0.1834069484561502,0.12131213381406895,0.08877275496309889,0.1292391208534683,0.04091450645774223,-0.10700247851840029,-0.3516316844803898
momandrev_onemonthreturn,0.14733002963954683,0.10890295611850795,0.03353470963970178,-0.058950440195737475,-0.02753282995495266,0.0303874477331787,-0.0008459905885541382,0.020350597080684478,-0.05447590521213396,-0.18978147221798444
momandrev_lagelemreturn,-0.004558307759475988,0.045723742867460546,-0.013774445944760808,0.015151427559496791,0.0796301878568374,-0.0040869047768388195,0.036808871088825086,0.1088025288228082,0.17969477200428735,0.21308007435305967
