factors,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,LongShort
size_mktcap,0.41029798394330635,0.3457276880393783,0.29943739882896003,0.3025751740825224,0.2540231840197871,0.24859637352874747,0.241427704427936,0.23501530584191155,0.2597277090251099,0.18869762393437622,0.3470485616644233
value_epratio,0.11450823734139504,0.2737551199841983,0.294701822493856,0.16502841709906185,0.19270823660129685,0.127383077297261,0.11935244334517216,0.1769897052795928,0.1881829314682266,0.2784314763425447,0.16145994979463904
value_bmratio,0.03753769188517289,0.16432077855407629,0.15051201396996675,0.09677911972799294,0.09896085591702258,0.14685244946615322,0.24080683764856511,0.24154169702718925,0.06028795982292993,0.3098673211141763,0.2607302654177999
value_cpratio,0.13002369919877374,0.1596639510067021,0.07475898224924124,0.06762784705428969,0.22482907347202094,0.2565331600185808,0.31939194009928606,0.4063978634623682,0.22122992700564179,0.4148048293168859,0.5772825390659748
profitability_roe,0.20284312023064924,0.2824048696375606,0.27102466240402207,0.3133586158737551,0.30097242107402233,0.2576904107793761,0.17927642028165083,0.26146994740303575,0.22058819446247624,0.25446465130352697,0.03766796645495143
profitability_PMU,-0.16316750607971356,-0.03410914053487141,0.020016797331186637,0.06642784636896305,0.08330411818572436,0.16047431822687253,0.0733389921018685,0.3246200845505098,0.5785192382417002,0.7004496277173878,1.2444271475063229
profitability_PMUTTM,0.010838231189554948,0.11827301591013557,0.20007220824353192,0.19682186560041517,0.2145953738018124,0.155210367345552,0.24301522239152784,0.16760363111348264,0.48784633524287707,0.6042182791325093,0.7457796356492532
volatility_MAX,0.1788082255315127,0.2474859966749225,0.3020641151655375,0.24628675103874262,0.2732987308190023,0.23032947285651767,0.14178835976643353,0.20131903377161317,0.17655043810133209,0.15776054184653002,-0.05787082677309507
volatility_onemonthv,0.1796910382285605,0.22571951201042048,0.3317116539171914,0.27052916137201505,0.2851127814944463,0.30478379594842225,0.17740616667165343,0.35756387341118506,0.13041407877537184,0.025437911667694046,0.10000674765152659
volatility_threemonthv,0.2374534360652845,0.3300028194679562,0.32221181707875485,0.18597439599171695,0.3211571013851588,0.2583346417325141,0.12962917524305861,0.21380755041078436,0.11593972741884605,0.004372605721866394,0.16084212592970173
volatility_sixmonthv,0.22736652197892837,0.33831107053417114,0.30829883461550234,0.3138799867543743,0.25030350016236386,0.18213003126129926,0.2668770946214476,0.09748502209293992,0.07273161438191776,-0.04417730745728496,0.21980110215664198
volatility_twelvemonthv,0.2363119239760966,0.4170586037334014,0.31017920460640425,0.2867791448404123,0.33674695033175084,0.19716857497592527,0.1788901961586024,0.12013332570801338,0.1643787942383723,-0.017892221869315713,0.19741409485955463
volatility_oneyearmv,0.2932013223199368,0.24961502348741024,0.3564083795375594,0.2398484215551,0.14933320183695764,0.3174344449832695,0.2165092580249455,0.1385650351066012,0.21896327757479508,0.07408410331776914,0.15547717946770695
volatility_twoyearmv,0.23202170966916907,0.21452030139707978,0.26111268126034937,0.20258153876112628,0.2409732929433527,0.2205854209015204,0.20053030435975464,0.16323695012441758,0.10281141329278838,0.005706810578491957,0.19600570542555668
volatility_threeyearmv,0.26245758332619085,0.29955654733965165,0.2360916924230788,0.24295125204850979,0.2642025437492897,0.272783360718235,0.1650975121634701,0.15892463771839624,0.14292896509035088,0.025234646572824412,0.20894434389674635
investment_annualassetgrowth,0.0786854073343207,0.1259363402151606,0.19839596094673323,0.1337444139061116,-0.004048041154836906,0.1546182044801219,0.20023589010314366,0.2498750048121683,0.24060647680039596,0.21875770623039723,0.28092763441528285
investment_quarterlyassetgrowth,0.03365354100649014,0.0016775941924457214,0.05565072675533677,0.11695308477835792,0.08126236190612217,0.22554598000764556,0.3392981615638679,0.3602929162131772,0.3089589257223835,0.395007061454729,0.8495209751563684
accruals_accruals,0.1792916794968632,0.20108077093543075,0.24393154027738162,0.23436477642442843,0.17988926679156514,0.19848119961895863,0.17578571012153046,0.1593259656759952,0.15017349550315573,0.1463606886351616,0.022101084713707746
accruals_noas,0.22678842144426725,0.28044183349147367,0.2391751574056894,0.3254712369560098,0.24728860184811216,0.29231812622031206,-0.003291245216985718,0.18898067505249813,0.08529052272580333,0.23097500688921327,-0.06161899647297793
illiquidity_illiquidity,0.07154728111480115,0.14682116856653718,0.23400748744809852,0.30744387406243323,0.2666002497075383,0.3642548260991503,0.34538008408837906,0.3685986773223794,0.4594965511918904,0.3444706150031378,0.35521590126641295
turnover_twelvemturnover,0.2464663508202698,0.2765277369112819,0.35664183567580515,0.35294082663359677,0.3229852676409075,0.2518098218528305,0.2454332863555866,0.15319861774240182,0.1482240667444576,-0.039513163666991216,0.27283850872837284
turnover_onemabturnover,0.2940569932968732,0.3247600546340605,0.33653330194752046,0.3892380787324045,0.3336457990941916,0.29960479010534086,0.32643640209532115,0.21671078002132735,0.038738559952182575,-0.27995887955383336,0.8450902378046373
momandrev_onemonthreturn,0.2978469147326293,0.33559237612623494,0.27523037888903157,0.19689128319897525,0.23776785807324757,0.29881701287109336,0.255832389091519,0.2661077308843049,0.17136351658029925,-0.05115708801783092,0.43832857990347757
momandrev_lagelemreturn,0.06256723323417618,0.18429234291636581,0.15577760909699298,0.19486716477927127,0.2622574149914764,0.17433722158076453,0.20140355036946614,0.2547947897173934,0.2932621747486078,0.2657547791905203,0.2735199091349493
